source,target,lag,horizon,recording,effect
URB,RIP,1,16,OH16230:0925_01,0.1518203318119049
URB,RIP,1,32,OH16230:0925_01,0.11098101735115051
URB,RIP,1,1,OH16230:0925_04,0.3033619523048401
URB,RIP,1,2,OH16230:0925_04,0.29032328724861145
URB,RIP,1,4,OH16230:0925_04,0.2658781111240387
URB,RIP,1,8,OH16230:0925_04,0.266638845205307
URB,RIP,1,16,OH16230:0925_04,0.22602131962776184
URB,RIP,1,32,OH16230:0925_04,0.15826810896396637
URB,RIP,1,1,OH16230:0928_01,0.2362084984779358
URB,RIP,1,2,OH16230:0928_01,0.22643733024597168
URB,RIP,1,4,OH16230:0928_01,0.2136939913034439
URB,RIP,1,8,OH16230:0928_01,0.22418159246444702
URB,RIP,1,16,OH16230:0928_01,0.19152674078941345
URB,RIP,1,32,OH16230:0928_01,0.13309361040592194
URB,RIP,1,1,OH16230:0928_03,0.2075183093547821
URB,RIP,1,2,OH16230:0928_03,0.21267402172088623
URB,RIP,1,4,OH16230:0928_03,0.20599186420440674
URB,RIP,1,8,OH16230:0928_03,0.2065427601337433
URB,RIP,1,16,OH16230:0928_03,0.20427745580673218
URB,RIP,1,32,OH16230:0928_03,0.20075064897537231
URB,RIP,1,1,OH16230:0928_05,0.18980509042739868
URB,RIP,1,2,OH16230:0928_05,0.19318515062332153
URB,RIP,1,4,OH16230:0928_05,0.19520354270935059
URB,RIP,1,8,OH16230:0928_05,0.18690773844718933
URB,RIP,1,16,OH16230:0928_05,0.17044112086296082
URB,RIP,1,32,OH16230:0928_05,0.14472806453704834
