channel,context,test,source,target,minimum_family_adjusted_p,maximum_absolute_effect,significant_cells,tested_cells
endpoint_mean,baseline,lag_minus_1,SAA,AVJ,1.0,0.0110403057187795,0,18
endpoint_mean,baseline,effect,URX,AIZ,1.0,0.0110385473817586,0,24
endpoint_log_sd,baseline,lag_minus_1,PVC,RMD,1.0,0.0110357236117124,0,18
endpoint_mean,baseline,lag_minus_1,AQR,PVW,1.0,0.0110239963978528,0,18
endpoint_mean,onset_minus_baseline,effect,PVR,DVA,1.0,0.0110134528949856,0,24
endpoint_mean,onset_minus_baseline,effect,RMF,AFD,1.0,0.0110133197158575,0,24
endpoint_log_sd,baseline,lag_minus_1,AIM,ADE,1.0,0.0110130459070205,0,18
endpoint_mean,onset_minus_baseline,effect,RIS,AIB,1.0,0.0110013782978057,0,24
endpoint_mean,onset_minus_baseline,effect,PVP,RIP,1.0,0.0109982602298259,0,24
endpoint_log_sd,baseline,effect,FLP,PHA,1.0,0.0109848184511065,0,24
endpoint_log_sd,baseline,lag_minus_1,AVF,AVJ,1.0,0.0109775634482502,0,18
endpoint_mean,onset_minus_baseline,lag_minus_1,AVK,PVT,1.0,0.0109520815312862,0,18
endpoint_log_sd,baseline,lag_minus_1,PHC,FLP,1.0,0.0109514910727739,0,18
endpoint_mean,onset_minus_baseline,effect,AVF,PVC,1.0,0.0109395673498511,0,24
endpoint_mean,onset_minus_baseline,effect,AVF,OLQ,1.0,0.0109392572194337,0,24
endpoint_mean,baseline,lag_minus_1,ADA,AVH,1.0,0.010934229940176,0,18
endpoint_log_sd,baseline,effect,PVQ,AVK,1.0,0.0109330806881189,0,24
endpoint_mean,onset_minus_baseline,effect,AIM,ADA,1.0,0.0109313996508717,0,24
endpoint_mean,baseline,lag_minus_1,ASJ,PHB,1.0,0.0109203429892659,0,18
endpoint_mean,onset_minus_baseline,effect,CEP,PVW,1.0,0.0109073817729949,0,24
endpoint_mean,baseline,lag_minus_1,IL1,RMD,1.0,0.0108957169577479,0,18
endpoint_log_sd,baseline,effect,AIM,RME,1.0,0.0108935572206974,0,24
