law,delta,generator_id,model_name,method,metric_id,median,q25,q75,n
clean,0.12,g2_covariance,diffusion_gaussian_anchored,signed_classifier,channel_readout_nrmse,0.5436140907927788,0.49600589015078367,0.5968977705092708,8
clean,0.12,g2_covariance,diffusion_gaussian_anchored,signed_classifier,witness_nrmse,0.6920013522851984,0.6189431609927023,0.7861046616618419,8
clean,0.12,g2_covariance,diffusion_gaussian_anchored,signed_riesz_dictionary,channel_readout_nrmse,4.801034382911079,4.680791681299831,5.842470276454698,8
clean,0.12,g2_covariance,diffusion_gaussian_anchored,signed_riesz_dictionary,witness_nrmse,4.37053195404563,3.8767964037342244,4.862562813702599,8
clean,0.12,g2_covariance,diffusion_legacy,direct_coupled_samples,channel_readout_nrmse,1.3258273379839913,1.2701931732426168,1.4073049383188045,8
clean,0.12,g2_covariance,diffusion_legacy,signed_classifier,channel_readout_nrmse,0.994159134868395,0.9896977277956678,1.0068815933878272,8
clean,0.12,g2_covariance,diffusion_legacy,signed_classifier,witness_nrmse,1.0055259035298163,1.0022622701065764,1.0117771319967472,8
clean,0.12,g2_covariance,diffusion_legacy,signed_riesz_dictionary,channel_readout_nrmse,0.9902306719146966,0.9880704748494854,0.9939636196606816,8
clean,0.12,g2_covariance,diffusion_legacy,signed_riesz_dictionary,witness_nrmse,0.9940691106124494,0.9932412767037919,0.9955188055033068,8
clean,0.12,g2_covariance,flow_matching,direct_coupled_samples,channel_readout_nrmse,0.4166055397370475,0.3752269282666769,0.44952281294371127,8
clean,0.12,g2_covariance,flow_matching,signed_classifier,channel_readout_nrmse,0.5374656757926148,0.4941428197739115,0.6017379272593888,8
clean,0.12,g2_covariance,flow_matching,signed_classifier,witness_nrmse,0.7083452840778572,0.6319405446964209,0.7956877920850898,8
clean,0.12,g2_covariance,flow_matching,signed_riesz_dictionary,channel_readout_nrmse,3.6760067507113128,2.7938482592962064,4.171626242428474,8
clean,0.12,g2_covariance,flow_matching,signed_riesz_dictionary,witness_nrmse,3.5106633444663355,3.084372470577418,3.6973446533028738,8
clean,0.12,g2_covariance,flow_matching_gaussian_source,direct_coupled_samples,channel_readout_nrmse,0.5893541425819091,0.497558896905573,0.6574247328330122,8
clean,0.12,g2_covariance,flow_matching_gaussian_source,signed_classifier,channel_readout_nrmse,0.589287832795134,0.5699363605614304,0.6772284387234759,8
