cohort,channel,context,lag,horizon,comparison,scope,n_edges,spearman,rmse,sign_agreement
clean54,endpoint_mean,state_average,8,32,generator_0_vs_1,strong,1749,0.5713413625793919,0.055350233,0.73642081189251
clean54,endpoint_mean,state_average,8,32,generator_0_vs_2,all,2862,0.6538051138101184,0.06750161,0.7554157931516422
clean54,endpoint_mean,state_average,8,32,generator_0_vs_2,strong,1749,0.617504759736615,0.053618383,0.7495711835334476
clean54,endpoint_mean,state_average,8,32,generator_1_vs_2,all,2862,0.6432285872228345,0.06473429,0.7365478686233403
clean54,endpoint_mean,state_average,8,32,generator_1_vs_2,strong,1749,0.5688254920244904,0.05356985,0.7101200686106347
clean54,endpoint_mean,state_average,8,32,independent_MC,all,2862,0.9662265171462942,0.018750928,0.9220824598183088
clean54,endpoint_mean,state_average,8,32,independent_MC,strong,1749,0.9526177267316249,0.017492283,0.9148084619782733
clean54,endpoint_mean,state_average,8,32,direct_N4096,all,2862,0.842664126453691,0.043841355,0.8403214535290007
clean54,endpoint_mean,state_average,8,32,direct_N4096,strong,1749,0.7725008105318109,0.04328612,0.8198970840480274
clean54,endpoint_mean,state_average,16,1,generator_0_vs_1,all,2862,0.6967713992787576,0.05033327,0.7739343116701607
clean54,endpoint_mean,state_average,16,1,generator_0_vs_1,strong,1749,0.6562096112082726,0.044874422,0.7615780445969125
clean54,endpoint_mean,state_average,16,1,generator_0_vs_2,all,2862,0.7153216557404698,0.051279847,0.7844164919636618
clean54,endpoint_mean,state_average,16,1,generator_0_vs_2,strong,1749,0.6772053450113492,0.045169834,0.7724413950829045
clean54,endpoint_mean,state_average,16,1,generator_1_vs_2,all,2862,0.7146719362232086,0.049682718,0.7812718378756115
clean54,endpoint_mean,state_average,16,1,generator_1_vs_2,strong,1749,0.6738347550622966,0.04496158,0.7650085763293311
clean54,endpoint_mean,state_average,16,1,independent_MC,all,2862,0.9566163332210734,0.018807942,0.9192872117400419
clean54,endpoint_mean,state_average,16,1,independent_MC,strong,1749,0.9471693133946059,0.01728555,0.9113779302458548
clean54,endpoint_mean,state_average,16,1,direct_N4096,all,2862,0.8734788709587111,0.03266565,0.8508036338225018
clean54,endpoint_mean,state_average,16,1,direct_N4096,strong,1749,0.8378709642328657,0.031627744,0.826186392224128
clean54,endpoint_mean,state_average,16,2,generator_0_vs_1,all,2862,0.6966934847496968,0.05110222,0.7739343116701607
clean54,endpoint_mean,state_average,16,2,generator_0_vs_1,strong,1749,0.6557585977771634,0.04532925,0.7604345340194397
clean54,endpoint_mean,state_average,16,2,generator_0_vs_2,all,2862,0.7168203797990685,0.051958524,0.7861635220125787
clean54,endpoint_mean,state_average,16,2,generator_0_vs_2,strong,1749,0.6787663008734265,0.045464043,0.7753001715265866
clean54,endpoint_mean,state_average,16,2,generator_1_vs_2,all,2862,0.7159047045388205,0.050318953,0.7795248078266946
clean54,endpoint_mean,state_average,16,2,generator_1_vs_2,strong,1749,0.6748009179530977,0.045245536,0.7610062893081762
clean54,endpoint_mean,state_average,16,2,independent_MC,all,2862,0.9575190731470343,0.018809581,0.9206848357791754
clean54,endpoint_mean,state_average,16,2,independent_MC,strong,1749,0.9479659167308233,0.01728398,0.9142367066895368
clean54,endpoint_mean,state_average,16,2,direct_N4096,all,2862,0.8712575126908878,0.03361255,0.8549965059399022
clean54,endpoint_mean,state_average,16,2,direct_N4096,strong,1749,0.8328145645641435,0.032807503,0.8284734133790738
clean54,endpoint_mean,state_average,16,4,generator_0_vs_1,all,2862,0.6957975344664915,0.05269231,0.7697414395527603
clean54,endpoint_mean,state_average,16,4,generator_0_vs_1,strong,1749,0.6532273072120229,0.046298005,0.7564322469982847
clean54,endpoint_mean,state_average,16,4,generator_0_vs_2,all,2862,0.7181144411337333,0.053396076,0.7840670859538784
clean54,endpoint_mean,state_average,16,4,generator_0_vs_2,strong,1749,0.680456993030716,0.046137907,0.7747284162378502
clean54,endpoint_mean,state_average,16,4,generator_1_vs_2,all,2862,0.717092263590575,0.05165151,0.7795248078266946
clean54,endpoint_mean,state_average,16,4,generator_1_vs_2,strong,1749,0.67498717559803,0.04586539,0.7632933104631218
clean54,endpoint_mean,state_average,16,4,independent_MC,all,2862,0.9589142479870295,0.01884457,0.9199860237596087
clean54,endpoint_mean,state_average,16,4,independent_MC,strong,1749,0.9491986226286127,0.017303595,0.9153802172670097
clean54,endpoint_mean,state_average,16,4,direct_N4096,all,2862,0.8679355520014919,0.03445069,0.8487071977638015
clean54,endpoint_mean,state_average,16,4,direct_N4096,strong,1749,0.8256416468122353,0.033836953,0.8284734133790738
clean54,endpoint_mean,state_average,16,8,generator_0_vs_1,all,2862,0.6895501872961524,0.05588362,0.7697414395527603
clean54,endpoint_mean,state_average,16,8,generator_0_vs_1,strong,1749,0.6436753274789628,0.048266497,0.7575757575757576
clean54,endpoint_mean,state_average,16,8,generator_0_vs_2,all,2862,0.7148048245513223,0.056335848,0.779874213836478
clean54,endpoint_mean,state_average,16,8,generator_0_vs_2,strong,1749,0.6768171663404166,0.04766156,0.7741566609491137
clean54,endpoint_mean,state_average,16,8,generator_1_vs_2,all,2862,0.7140375150658859,0.054425493,0.7774283717679944
clean54,endpoint_mean,state_average,16,8,generator_1_vs_2,strong,1749,0.6682457198257034,0.047229875,0.7592910234419669
clean54,endpoint_mean,state_average,16,8,independent_MC,all,2862,0.9608010192734147,0.019012596,0.9178895877009084
clean54,endpoint_mean,state_average,16,8,independent_MC,strong,1749,0.9511714060301771,0.017420903,0.9165237278444825
clean54,endpoint_mean,state_average,16,8,direct_N4096,all,2862,0.8632963007999458,0.036697686,0.8591893780573026
clean54,endpoint_mean,state_average,16,8,direct_N4096,strong,1749,0.8143219843927066,0.03614801,0.8404802744425386
clean54,endpoint_mean,state_average,16,16,generator_0_vs_1,all,2862,0.6637088986809506,0.061998446,0.7540181691125087
clean54,endpoint_mean,state_average,16,16,generator_0_vs_1,strong,1749,0.6111273709667562,0.05210064,0.7387078330474557
clean54,endpoint_mean,state_average,16,16,generator_0_vs_2,all,2862,0.6895485460251143,0.06219158,0.7679944095038435
clean54,endpoint_mean,state_average,16,16,generator_0_vs_2,strong,1749,0.6493870114169756,0.05119963,0.7627215551743853
clean54,endpoint_mean,state_average,16,16,generator_1_vs_2,all,2862,0.6929453311614738,0.05977227,0.7645003494060097
clean54,endpoint_mean,state_average,16,16,generator_1_vs_2,strong,1749,0.6408549436833189,0.04991459,0.740423098913665
clean54,endpoint_mean,state_average,16,16,independent_MC,all,2862,0.9615004010964565,0.019498168,0.9196366177498253
clean54,endpoint_mean,state_average,16,16,independent_MC,strong,1749,0.9517029623802215,0.017825438,0.917095483133219
clean54,endpoint_mean,state_average,16,16,direct_N4096,all,2862,0.8480437966499788,0.041618995,0.8350803633822502
clean54,endpoint_mean,state_average,16,16,direct_N4096,strong,1749,0.7895445556990395,0.040919606,0.8153230417381361
clean54,endpoint_mean,state_average,16,32,generator_0_vs_1,all,2862,0.5928872765166325,0.07190979,0.7295597484276729
clean54,endpoint_mean,state_average,16,32,generator_0_vs_1,strong,1749,0.5333675676251557,0.057946566,0.7209834190966267
clean54,endpoint_mean,state_average,16,32,generator_0_vs_2,all,2862,0.6097081275932793,0.07258511,0.7246680642907058
clean54,endpoint_mean,state_average,16,32,generator_0_vs_2,strong,1749,0.5618515877283632,0.058365356,0.7175528873642081
clean54,endpoint_mean,state_average,16,32,generator_1_vs_2,all,2862,0.6262600071564441,0.06839852,0.7351502445842069
clean54,endpoint_mean,state_average,16,32,generator_1_vs_2,strong,1749,0.5617448139701928,0.05481591,0.7164093767867353
clean54,endpoint_mean,state_average,16,32,independent_MC,all,2862,0.9589922691108955,0.020205343,0.923130677847659
clean54,endpoint_mean,state_average,16,32,independent_MC,strong,1749,0.9461027404139979,0.018498192,0.9228130360205832
