fold,phase,lag,source,target,horizon,contrast_fraction,steps_factor,effect_mean,effect_sd,gap_mean,valid_fraction
0,baseline,1,ADE,ASK,8,1.0,1,-0.013687275039653035,0.10212481919863274,0.5481003721555074,1.0
0,baseline,1,ADE,ASK,8,1.0,2,-0.0337400753051042,0.15111988116658742,0.5426829755306244,1.0
0,baseline,1,ADE,ASK,16,1.0,1,-0.022287187476952835,0.07412148404105837,0.5481003721555074,1.0
0,baseline,1,ADE,ASK,16,1.0,2,-0.034226366629203135,0.11813899621515728,0.5426829755306244,1.0
0,baseline,1,ADE,ASK,32,1.0,1,0.007415690148870133,0.03990809941702314,0.5481003721555074,1.0
0,baseline,1,ADE,ASK,32,1.0,2,0.014115119197716304,0.05881271604982119,0.5426829755306244,1.0
0,baseline,1,ADE,AUA,1,1.0,1,0.09975666304429369,0.21792958744922283,0.5481003721555074,1.0
0,baseline,1,ADE,AUA,1,1.0,2,0.06724817802508673,0.22128431490177267,0.5426829755306244,1.0
0,baseline,1,ADE,AUA,2,1.0,1,0.08973239858945208,0.20672339379094637,0.5481003721555074,1.0
0,baseline,1,ADE,AUA,2,1.0,2,0.061154178033272444,0.21049414583028042,0.5426829755306244,1.0
0,baseline,1,ADE,AUA,4,1.0,1,0.0780620028575261,0.1872510319889907,0.5481003721555074,1.0
0,baseline,1,ADE,AUA,4,1.0,2,0.05148856466015183,0.19996833815656717,0.5426829755306244,1.0
0,baseline,1,ADE,AUA,8,1.0,1,0.061325386166572536,0.16342219123356314,0.5481003721555074,1.0
0,baseline,1,ADE,AUA,8,1.0,2,0.03998287891348207,0.18428081328079543,0.5426829755306244,1.0
0,baseline,1,ADE,AUA,16,1.0,1,0.05889718731244403,0.13592540061324807,0.5481003721555074,1.0
0,baseline,1,ADE,AUA,16,1.0,2,0.0350714201728503,0.17549361265385396,0.5426829755306244,1.0
0,baseline,1,ADE,AUA,32,1.0,1,0.06645676990350084,0.12757841866254999,0.5481003721555074,1.0
0,baseline,1,ADE,AUA,32,1.0,2,0.03410548095901806,0.18371034057567698,0.5426829755306244,1.0
0,baseline,1,ADE,AVA,1,1.0,1,0.11975699538985886,0.16983270584580692,0.5481003721555074,1.0
0,baseline,1,ADE,AVA,1,1.0,2,0.12887845436731973,0.16987831147557816,0.5426829755306244,1.0
0,baseline,1,ADE,AVA,2,1.0,1,0.12359650122622645,0.16881708890417027,0.5481003721555074,1.0
0,baseline,1,ADE,AVA,2,1.0,2,0.13134847084681192,0.1643863728474028,0.5426829755306244,1.0
0,baseline,1,ADE,AVA,4,1.0,1,0.1298383638883631,0.16452871197937835,0.5481003721555074,1.0
0,baseline,1,ADE,AVA,4,1.0,2,0.13932294336458048,0.15335396949475605,0.5426829755306244,1.0
0,baseline,1,ADE,AVA,8,1.0,1,0.13138369688143325,0.1589170716987807,0.5481003721555074,1.0
0,baseline,1,ADE,AVA,8,1.0,2,0.14568454679101703,0.1358811970974891,0.5426829755306244,1.0
